,Name,Price,Rating,Image
28,"HP 250 G8 Notebook PC, 11th Gen Intel Core i3-1115G4 Processor, 15.6 inch(39.6cm) Anti-Glare HD Laptop/8GB RAM/512GB SSD/Numeric Keypad/Intel UHD Graphics/Win 11/1.74 Kgs 6X4B3PA","33,999",3.8 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71G+U+ae6sL._AC_UY218_.jpg
29,"Samsung Galaxy Book3 Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop  (15.6 Inch, Graphite, 1.58 Kg, with MS Office)","89,990",4.3 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71S4rL6SedL._AC_UY218_.jpg
30,"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6cm) FHD Laptop (8Gb/512Gb SSD/Win 11/Office 2021/1 Year Warranty/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg), 82XQ008GIN","40,590",4.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71iwcdBHcML._AC_UY218_.jpg
31,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics), Black","17,898",4.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51qGdtu8+RL._AC_UY218_.jpg
32,"HP Pavilion 14, 12th Gen Intel Core i5-1235U,14-inch (35.6 cm),FHD,Touchscreen,16GB DDR4, 512GB SSD, Intel Iris Xᵉ Graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2021, Silver, 1.41 kg),dv2041TU","68,490",4.2 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71Im0MkSoaL._AC_UY218_.jpg
33,"HP Laptop 15, AMD Ryzen 3 7320U, 15.6-inch (39.6 cm), FHD, 8GB LPDDR5, 512GB SSD, AMD Radeon Graphics, FHD Camera w/Privacy Shutter, Backlit KB (Win 11, MSO 2021, Silver, 1.59 kg), fc0026AU","38,990",4.7 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/719zrQ+olaL._AC_UY218_.jpg
34,"Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK011EIN","62,990",4.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51D0u37wUuL._AC_UY218_.jpg
35,"Xiaomi Notebook Ultra Max 11th Gen Intel Core i5-11320H Thin & Light (16GB/512GB SSD/Iris Xe Graphics/15.6"" 3.2K Resolution/Win 11/Thunderbolt 4/MS Office '21/Fingerprint Sensor/1.7 Kg)","48,990",4.2 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/710aJMxsUXL._AC_UY218_.jpg
36,Acer Extensa 15 AMD Ryzen™ 3 7320U Quad-Core Processor (8 GB/256 GB SSD/Windows 11 Home/AMD Radeon Graphics/1.78 KG/Steel Gray) EX215-23 Full HD Display Laptop,"25,990",3.6 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71ixvs8g7PL._AC_UY218_.jpg
37,"HP 15s, AMD Ryzen 3 5300U, 15.6 inch(39.6cm) FHD Anti-Glare Laptop(8GB RAM/512 GB SSD/AMD Radeon Graphics/Win 11/MSO/Backlit Keyboard/Dual Speakers) 15s- eq2213AU","32,499",3.9 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81pRWxXq16L._AC_UY218_.jpg
38,"HP Laptop 15, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel Iris Xe Graphics, FHD Camera w/Privacy Shutter, Backlit KB (Win 11, MSO 2021, Blue, 1.59 kg), fd0021TU","58,880",3.8 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81cWAKUA0NL._AC_UY218_.jpg
39,"AXL VayuBook Laptop 14.1 Inch FHD IPS Display (4GB Ram,128GB SSD) 1920 * 1080 Resolution | HD Gemini Lake N4020 | Windows 11 Home | UHD Graphics 600 (Cloud Silver)","14,990",3.2 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/512eNZ2fcRL._AC_UY218_.jpg
40,"MSI Titan GT77 HX, Intel 13th Gen. i9-13980HX, 44CM FHD 144Hz Mini LED, HDR 1000 Gaming Laptop (64GB/4TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4090, 16GB GDDR6/Core Black/3.3Kg), 13VI-092IN","5,69,990",3.7 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71yWBoj2kuL._AC_UY218_.jpg
41,"HP [SmartChoice 14s 11th Gen Intel i3 14 inches FHD, IPS (8GB RAM/ 512 GB SSD/LTE/Backlit Keyboard/UHD Graphics/Dual Speakers/Windows 11 Home/MS Office/1.49 Kg), 14s-ef1002tu, Natural Silver","38,490",4.2 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71beRaCiESL._AC_UY218_.jpg
42,"ASUS Vivobook 15, Intel Core i3-1220P 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Alexa Built-in/FP Sensor/Blue/1.7 kg), X1502ZA-EJ381WS","39,990",4.0 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71c0GSxtEEL._AC_UY218_.jpg
43,"Lenovo IdeaPad 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.58Kg), 82VG00EVIN","32,990",3.9 out of 5 stars,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61iRHicGP4L._AC_UY218_.jpg
